MACROAREA,TOPIC,YEAR,TRANSPORTOME,PMID,Ref.
Cell Motility,Distribution of ICTs in migrating cells,2001,ICTs,11292615,
Cell Motility,Functional role of ICTs in cell migration,2012,ICTs,23073633,
Cell Motility,Control of cell migration,2013,ICTs,23720281,
Channelopathies,Transepithelial transport and vesicular function,2008,Ion Channels,19185187,
Channelopathies,Nervous System,2010,Ion Channels,20331364,
Channelopathies,Kidney,2014,Ion Channels,24662008,
Functional proteomics,Channel-associated protein environments,2011,Ion Channels,20934526,
Functional proteomics,Interactome,2014,Ion Channels,25392484,
GI tract,Intestine,2009,ICTs,19528875,
GI tract,Small intestine,2012,ICTs,22157512,
GI tract disease,Intestinal inflammation,2011,ICTs,21787355,
GI tract disease,Gastrointestinal mucosa diseases,2021,ICTs,34778915,
GI tract disease,Gastric mucosal injury,2022,ICTs,35276516,
Immunity,Adaptive and innate immunity,2015,ICTs,25861976,
Immunity,New therapeutic concepts,2019,Ion Channels,30862701,
Kidney,Freshwater fish,2003,ICTs,14598386,
Kidney,Inner ear and kidney,2004,ICTs,15365806,
Kidney,Inner ear and kidney,2007,ICTs,17670895,
Kidney,Connecting tubule and cortical collecting duct,2012,ICTs,23227301,
Kidney,TAL and blood pressure,2017,ICTs,28389525,
Kidney disease,Human and zebrafish kidney,2016,ICTs,27852607,
Kidney disease,Polycystic kidney disease,2021,ICTs,34751394,
Mycorrhiza,Ecto- and arbuscular mycorrhiza,2013,ICTs,23572325,
Mycorrhiza,Control of nutrient fluxes,2016,ICTs,27514454,
Nervous System,CNS - epilepsy,2001,Ion Channels,11579435,
Nervous System,PNS - vestibular nuclei neurons,2009,Ion Channels,20495236,
Osmoregulation,Gill of teleost fishes euryhaline,2001,ICTs,11911073,
Osmoregulation,Gill of teleost fishes,2007,ICTs,17689996,
Osmoregulation,Gill of teleost euryhaline and diadromous fish,2012,ICTs,22850177,
Osmoregulation,Kidney of teleost fishes,2021,ICTs,33967835,
Plants,Evolution,2012,Ion Channels,23073631,
Plants,Plant growth and development,2021,ICTs,34884597,
Protozoa ,Trypanosoma brucei,2015,Transporters,25814953,
Protozoa ,Plasmodium falciparum,2019,ICTs,31701663,
Retina,Retinal pigment epithelium (RPE),2007,Ion Channels,17258931,
Retina,Retinal pigment epithelium (RPE),2014,ICTs,25152360,
Skin pigmentation ,Melanocytes and intracellular organelles,2014,ICTs,25034214,
Skin pigmentation ,Melanosomes,2020,ICTs,32333855,
Sperm physiology,Male fertility and infertility,2012,Ion Channels,22441763,
Sperm physiology,Astenozoosperimia in mouse models,2022,ICTs,35409285,
Therapy,New therapeutic concepts,2022,ICTs,35453638,
Plants,,,,22303277,
